Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI BRAZIL
2017-12-13,12,2,4,0,1,0,24.692426681518555
2017-12-14,12,2,4,0,1,0,24.42466163635254
2017-12-15,12,2,4,0,1,0,24.7115535736084
2017-12-18,12,2,4,0,1,0,25.004838943481445
2017-12-19,12,2,4,0,1,0,24.950130462646484
2017-12-20,12,2,4,0,1,0,24.98230361938477
2017-12-21,12,2,4,0,1,0,25.43922233581543
2017-12-22,12,2,4,0,1,0,25.426347732543945
2017-12-26,12,2,4,0,1,0,25.735252380371094
2017-12-27,12,2,4,0,1,0,25.812475204467773
2017-12-28,12,2,4,0,1,0,25.973562240600582
2017-12-29,12,2,4,0,1,0,26.06377220153809
2018-01-02,1,1,1,0,1,0,26.856319427490234
2018-01-03,1,1,1,0,1,0,27.1849308013916
2018-01-04,1,1,1,0,1,0,27.365345001220703
2018-01-05,1,1,1,0,1,0,27.603757858276367
